"","minfunc","minfunc_num","variable","expo","rsquared","buff"
"1","stress",1,1,1,0.512,"buff"
"2","stress",1,2,1,0.482,"buff"
"3","stress",1,3,1,0.46,"buff"
"4","stress",1,4,1,0.408,"buff"
"5","stress",1,5,1,0.514,"buff"
"6","stress",1,6,1,0.474,"buff"
"7","stress",1,7,1,0.529,"buff"
"8","stress",1,8,1,0.467,"buff"
"9","stress",1,9,1,0.506,"buff"
"10","stress",1,10,1,0.487,"buff"
"11","stress",1,11,1,0.556,"buff"
"12","stress",1,12,1,0.577,"buff"
"13","stress",1,13,1,0.607,"buff"
"14","stress",1,14,1,0.629,"buff"
"15","stress",1,15,1,0.613,"buff"
"16","stress",1,16,1,0.47,"buff"
"17","stress",1,17,1,0.617,"buff"
"18","stress2",2,1,1,0.512,"buff"
"19","stress2",2,2,1,0.482,"buff"
"20","stress2",2,3,1,0.46,"buff"
"21","stress2",2,4,1,0.408,"buff"
"22","stress2",2,5,1,0.503,"buff"
"23","stress2",2,6,1,0.464,"buff"
"24","stress2",2,7,1,0.525,"buff"
"25","stress2",2,8,1,0.462,"buff"
"26","stress2",2,9,1,0.488,"buff"
"27","stress2",2,10,1,0.486,"buff"
"28","stress2",2,11,1,0.537,"buff"
"29","stress2",2,12,1,0.553,"buff"
"30","stress2",2,13,1,0.614,"buff"
"31","stress2",2,14,1,0.63,"buff"
"32","stress2",2,15,1,0.607,"buff"
"33","stress2",2,16,1,0.471,"buff"
"34","stress2",2,17,1,0.601,"buff"
"35","force",3,1,1,0.512,"buff"
"36","force",3,2,1,0.482,"buff"
"37","force",3,3,1,0.46,"buff"
"38","force",3,4,1,0.408,"buff"
"39","force",3,5,1,0.513,"buff"
"40","force",3,6,1,0.475,"buff"
"41","force",3,7,1,0.528,"buff"
"42","force",3,8,1,0.469,"buff"
"43","force",3,9,1,0.487,"buff"
"44","force",3,10,1,0.452,"buff"
"45","force",3,11,1,0.555,"buff"
"46","force",3,12,1,0.574,"buff"
"47","force",3,13,1,0.616,"buff"
"48","force",3,14,1,0.63,"buff"
"49","force",3,15,1,0.613,"buff"
"50","force",3,16,1,0.471,"buff"
"51","force",3,17,1,0.614,"buff"
"52","force2",4,1,1,0.512,"buff"
"53","force2",4,2,1,0.482,"buff"
"54","force2",4,3,1,0.46,"buff"
"55","force2",4,4,1,0.408,"buff"
"56","force2",4,5,1,0.515,"buff"
"57","force2",4,6,1,0.474,"buff"
"58","force2",4,7,1,0.529,"buff"
"59","force2",4,8,1,0.469,"buff"
"60","force2",4,9,1,0.499,"buff"
"61","force2",4,10,1,0.493,"buff"
"62","force2",4,11,1,0.569,"buff"
"63","force2",4,12,1,0.584,"buff"
"64","force2",4,13,1,0.617,"buff"
"65","force2",4,14,1,0.636,"buff"
"66","force2",4,15,1,0.621,"buff"
"67","force2",4,16,1,0.493,"buff"
"68","force2",4,17,1,0.617,"buff"
"69","actstate",5,1,1,0.512,"buff"
"70","actstate",5,2,1,0.482,"buff"
"71","actstate",5,3,1,0.46,"buff"
"72","actstate",5,4,1,0.408,"buff"
"73","actstate",5,5,1,0.515,"buff"
"74","actstate",5,6,1,0.475,"buff"
"75","actstate",5,7,1,0.53,"buff"
"76","actstate",5,8,1,0.469,"buff"
"77","actstate",5,9,1,0.496,"buff"
"78","actstate",5,10,1,0.491,"buff"
"79","actstate",5,11,1,0.565,"buff"
"80","actstate",5,12,1,0.584,"buff"
"81","actstate",5,13,1,0.616,"buff"
"82","actstate",5,14,1,0.635,"buff"
"83","actstate",5,15,1,0.619,"buff"
"84","actstate",5,16,1,0.489,"buff"
"85","actstate",5,17,1,0.617,"buff"
"86","actstate2",6,1,1,0.512,"buff"
"87","actstate2",6,2,1,0.482,"buff"
"88","actstate2",6,3,1,0.46,"buff"
"89","actstate2",6,4,1,0.408,"buff"
"90","actstate2",6,5,1,0.516,"buff"
"91","actstate2",6,6,1,0.474,"buff"
"92","actstate2",6,7,1,0.531,"buff"
"93","actstate2",6,8,1,0.469,"buff"
"94","actstate2",6,9,1,0.498,"buff"
"95","actstate2",6,10,1,0.446,"buff"
"96","actstate2",6,11,1,0.581,"buff"
"97","actstate2",6,12,1,0.589,"buff"
"98","actstate2",6,13,1,0.618,"buff"
"99","actstate2",6,14,1,0.64,"buff"
"100","actstate2",6,15,1,0.629,"buff"
"101","actstate2",6,16,1,0.481,"buff"
"102","actstate2",6,17,1,0.614,"buff"
"103","drive",7,1,1,0.512,"buff"
"104","drive",7,2,1,0.482,"buff"
"105","drive",7,3,1,0.46,"buff"
"106","drive",7,4,1,0.408,"buff"
"107","drive",7,5,1,0.515,"buff"
"108","drive",7,6,1,0.476,"buff"
"109","drive",7,7,1,0.524,"buff"
"110","drive",7,8,1,0.466,"buff"
"111","drive",7,9,1,0.492,"buff"
"112","drive",7,10,1,0.45,"buff"
"113","drive",7,11,1,0.531,"buff"
"114","drive",7,12,1,0.531,"buff"
"115","drive",7,13,1,0.612,"buff"
"116","drive",7,14,1,0.615,"buff"
"117","drive",7,15,1,0.607,"buff"
"118","drive",7,16,1,0.479,"buff"
"119","drive",7,17,1,0.618,"buff"
"120","drive2",8,1,1,0.512,"buff"
"121","drive2",8,2,1,0.482,"buff"
"122","drive2",8,3,1,0.46,"buff"
"123","drive2",8,4,1,0.408,"buff"
"124","drive2",8,5,1,0.515,"buff"
"125","drive2",8,6,1,0.475,"buff"
"126","drive2",8,7,1,0.529,"buff"
"127","drive2",8,8,1,0.469,"buff"
"128","drive2",8,9,1,0.492,"buff"
"129","drive2",8,10,1,0.468,"buff"
"130","drive2",8,11,1,0.568,"buff"
"131","drive2",8,12,1,0.581,"buff"
"132","drive2",8,13,1,0.615,"buff"
"133","drive2",8,14,1,0.634,"buff"
"134","drive2",8,15,1,0.621,"buff"
"135","drive2",8,16,1,0.475,"buff"
"136","drive2",8,17,1,0.617,"buff"
"137","umberger",9,1,1,0.512,"buff"
"138","umberger",9,2,1,0.482,"buff"
"139","umberger",9,3,1,0.46,"buff"
"140","umberger",9,4,1,0.408,"buff"
"141","umberger",9,5,1,0.515,"buff"
"142","umberger",9,6,1,0.475,"buff"
"143","umberger",9,7,1,0.531,"buff"
"144","umberger",9,8,1,0.471,"buff"
"145","umberger",9,9,1,0.499,"buff"
"146","umberger",9,10,1,0.476,"buff"
"147","umberger",9,11,1,0.567,"buff"
"148","umberger",9,12,1,0.579,"buff"
"149","umberger",9,13,1,0.616,"buff"
"150","umberger",9,14,1,0.633,"buff"
"151","umberger",9,15,1,0.621,"buff"
"152","umberger",9,16,1,0.484,"buff"
"153","umberger",9,17,1,0.617,"buff"
"154","stress",1,1,1,0.5,"nobuff"
"155","stress",1,2,1,0.473,"nobuff"
"156","stress",1,3,1,0.434,"nobuff"
"157","stress",1,4,1,0.382,"nobuff"
"158","stress",1,5,1,0.502,"nobuff"
"159","stress",1,6,1,0.465,"nobuff"
"160","stress",1,7,1,0.53,"nobuff"
"161","stress",1,8,1,0.467,"nobuff"
"162","stress",1,9,1,0.492,"nobuff"
"163","stress",1,10,1,0.468,"nobuff"
"164","stress",1,11,1,0.551,"nobuff"
"165","stress",1,12,1,0.571,"nobuff"
"166","stress",1,13,1,0.607,"nobuff"
"167","stress",1,14,1,0.625,"nobuff"
"168","stress",1,15,1,0.607,"nobuff"
"169","stress",1,16,1,0.469,"nobuff"
"170","stress",1,17,1,0.608,"nobuff"
"171","stress2",2,1,1,0.5,"nobuff"
"172","stress2",2,2,1,0.473,"nobuff"
"173","stress2",2,3,1,0.434,"nobuff"
"174","stress2",2,4,1,0.382,"nobuff"
"175","stress2",2,5,1,0.491,"nobuff"
"176","stress2",2,6,1,0.456,"nobuff"
"177","stress2",2,7,1,0.525,"nobuff"
"178","stress2",2,8,1,0.462,"nobuff"
"179","stress2",2,9,1,0.478,"nobuff"
"180","stress2",2,10,1,0.47,"nobuff"
"181","stress2",2,11,1,0.532,"nobuff"
"182","stress2",2,12,1,0.546,"nobuff"
"183","stress2",2,13,1,0.613,"nobuff"
"184","stress2",2,14,1,0.625,"nobuff"
"185","stress2",2,15,1,0.601,"nobuff"
"186","stress2",2,16,1,0.469,"nobuff"
"187","stress2",2,17,1,0.592,"nobuff"
"188","force",3,1,1,0.5,"nobuff"
"189","force",3,2,1,0.473,"nobuff"
"190","force",3,3,1,0.434,"nobuff"
"191","force",3,4,1,0.382,"nobuff"
"192","force",3,5,1,0.5,"nobuff"
"193","force",3,6,1,0.466,"nobuff"
"194","force",3,7,1,0.528,"nobuff"
"195","force",3,8,1,0.468,"nobuff"
"196","force",3,9,1,0.475,"nobuff"
"197","force",3,10,1,0.434,"nobuff"
"198","force",3,11,1,0.547,"nobuff"
"199","force",3,12,1,0.565,"nobuff"
"200","force",3,13,1,0.615,"nobuff"
"201","force",3,14,1,0.624,"nobuff"
"202","force",3,15,1,0.605,"nobuff"
"203","force",3,16,1,0.467,"nobuff"
"204","force",3,17,1,0.605,"nobuff"
"205","force2",4,1,1,0.5,"nobuff"
"206","force2",4,2,1,0.473,"nobuff"
"207","force2",4,3,1,0.434,"nobuff"
"208","force2",4,4,1,0.382,"nobuff"
"209","force2",4,5,1,0.502,"nobuff"
"210","force2",4,6,1,0.466,"nobuff"
"211","force2",4,7,1,0.529,"nobuff"
"212","force2",4,8,1,0.469,"nobuff"
"213","force2",4,9,1,0.485,"nobuff"
"214","force2",4,10,1,0.474,"nobuff"
"215","force2",4,11,1,0.564,"nobuff"
"216","force2",4,12,1,0.578,"nobuff"
"217","force2",4,13,1,0.615,"nobuff"
"218","force2",4,14,1,0.631,"nobuff"
"219","force2",4,15,1,0.615,"nobuff"
"220","force2",4,16,1,0.487,"nobuff"
"221","force2",4,17,1,0.608,"nobuff"
"222","actstate",5,1,1,0.5,"nobuff"
"223","actstate",5,2,1,0.473,"nobuff"
"224","actstate",5,3,1,0.434,"nobuff"
"225","actstate",5,4,1,0.382,"nobuff"
"226","actstate",5,5,1,0.502,"nobuff"
"227","actstate",5,6,1,0.466,"nobuff"
"228","actstate",5,7,1,0.529,"nobuff"
"229","actstate",5,8,1,0.469,"nobuff"
"230","actstate",5,9,1,0.483,"nobuff"
"231","actstate",5,10,1,0.472,"nobuff"
"232","actstate",5,11,1,0.561,"nobuff"
"233","actstate",5,12,1,0.578,"nobuff"
"234","actstate",5,13,1,0.616,"nobuff"
"235","actstate",5,14,1,0.631,"nobuff"
"236","actstate",5,15,1,0.614,"nobuff"
"237","actstate",5,16,1,0.484,"nobuff"
"238","actstate",5,17,1,0.608,"nobuff"
"239","actstate2",6,1,1,0.5,"nobuff"
"240","actstate2",6,2,1,0.473,"nobuff"
"241","actstate2",6,3,1,0.434,"nobuff"
"242","actstate2",6,4,1,0.382,"nobuff"
"243","actstate2",6,5,1,0.503,"nobuff"
"244","actstate2",6,6,1,0.466,"nobuff"
"245","actstate2",6,7,1,0.531,"nobuff"
"246","actstate2",6,8,1,0.469,"nobuff"
"247","actstate2",6,9,1,0.487,"nobuff"
"248","actstate2",6,10,1,0.429,"nobuff"
"249","actstate2",6,11,1,0.576,"nobuff"
"250","actstate2",6,12,1,0.583,"nobuff"
"251","actstate2",6,13,1,0.616,"nobuff"
"252","actstate2",6,14,1,0.634,"nobuff"
"253","actstate2",6,15,1,0.622,"nobuff"
"254","actstate2",6,16,1,0.478,"nobuff"
"255","actstate2",6,17,1,0.606,"nobuff"
"256","drive",7,1,1,0.5,"nobuff"
"257","drive",7,2,1,0.473,"nobuff"
"258","drive",7,3,1,0.434,"nobuff"
"259","drive",7,4,1,0.382,"nobuff"
"260","drive",7,5,1,0.502,"nobuff"
"261","drive",7,6,1,0.469,"nobuff"
"262","drive",7,7,1,0.523,"nobuff"
"263","drive",7,8,1,0.464,"nobuff"
"264","drive",7,9,1,0.481,"nobuff"
"265","drive",7,10,1,0.433,"nobuff"
"266","drive",7,11,1,0.525,"nobuff"
"267","drive",7,12,1,0.525,"nobuff"
"268","drive",7,13,1,0.609,"nobuff"
"269","drive",7,14,1,0.61,"nobuff"
"270","drive",7,15,1,0.6,"nobuff"
"271","drive",7,16,1,0.475,"nobuff"
"272","drive",7,17,1,0.61,"nobuff"
"273","drive2",8,1,1,0.5,"nobuff"
"274","drive2",8,2,1,0.473,"nobuff"
"275","drive2",8,3,1,0.434,"nobuff"
"276","drive2",8,4,1,0.382,"nobuff"
"277","drive2",8,5,1,0.502,"nobuff"
"278","drive2",8,6,1,0.467,"nobuff"
"279","drive2",8,7,1,0.529,"nobuff"
"280","drive2",8,8,1,0.469,"nobuff"
"281","drive2",8,9,1,0.482,"nobuff"
"282","drive2",8,10,1,0.456,"nobuff"
"283","drive2",8,11,1,0.564,"nobuff"
"284","drive2",8,12,1,0.576,"nobuff"
"285","drive2",8,13,1,0.613,"nobuff"
"286","drive2",8,14,1,0.63,"nobuff"
"287","drive2",8,15,1,0.615,"nobuff"
"288","drive2",8,16,1,0.473,"nobuff"
"289","drive2",8,17,1,0.608,"nobuff"
"290","umberger",9,1,1,0.5,"nobuff"
"291","umberger",9,2,1,0.473,"nobuff"
"292","umberger",9,3,1,0.434,"nobuff"
"293","umberger",9,4,1,0.382,"nobuff"
"294","umberger",9,5,1,0.502,"nobuff"
"295","umberger",9,6,1,0.467,"nobuff"
"296","umberger",9,7,1,0.531,"nobuff"
"297","umberger",9,8,1,0.47,"nobuff"
"298","umberger",9,9,1,0.486,"nobuff"
"299","umberger",9,10,1,0.459,"nobuff"
"300","umberger",9,11,1,0.559,"nobuff"
"301","umberger",9,12,1,0.571,"nobuff"
"302","umberger",9,13,1,0.612,"nobuff"
"303","umberger",9,14,1,0.626,"nobuff"
"304","umberger",9,15,1,0.614,"nobuff"
"305","umberger",9,16,1,0.48,"nobuff"
"306","umberger",9,17,1,0.608,"nobuff"
"307","stress",1,1,1,0.395,"mj"
"308","stress",1,2,1,0.41,"mj"
"309","stress",1,3,1,0.346,"mj"
"310","stress",1,4,1,0.309,"mj"
"311","stress",1,5,1,0.398,"mj"
"312","stress",1,6,1,0.402,"mj"
"313","stress",1,7,1,0.415,"mj"
"314","stress",1,8,1,0.362,"mj"
"315","stress",1,9,1,0.348,"mj"
"316","stress",1,10,1,0.364,"mj"
"317","stress",1,11,1,0.471,"mj"
"318","stress",1,12,1,0.54,"mj"
"319","stress",1,13,1,0.448,"mj"
"320","stress",1,14,1,0.528,"mj"
"321","stress",1,15,1,0.551,"mj"
"322","stress",1,16,1,0.33,"mj"
"323","stress",1,17,1,0.57,"mj"
"324","stress2",2,1,1,0.395,"mj"
"325","stress2",2,2,1,0.41,"mj"
"326","stress2",2,3,1,0.346,"mj"
"327","stress2",2,4,1,0.309,"mj"
"328","stress2",2,5,1,0.388,"mj"
"329","stress2",2,6,1,0.396,"mj"
"330","stress2",2,7,1,0.412,"mj"
"331","stress2",2,8,1,0.362,"mj"
"332","stress2",2,9,1,0.336,"mj"
"333","stress2",2,10,1,0.365,"mj"
"334","stress2",2,11,1,0.446,"mj"
"335","stress2",2,12,1,0.513,"mj"
"336","stress2",2,13,1,0.462,"mj"
"337","stress2",2,14,1,0.531,"mj"
"338","stress2",2,15,1,0.544,"mj"
"339","stress2",2,16,1,0.33,"mj"
"340","stress2",2,17,1,0.557,"mj"
"341","force",3,1,1,0.395,"mj"
"342","force",3,2,1,0.41,"mj"
"343","force",3,3,1,0.346,"mj"
"344","force",3,4,1,0.309,"mj"
"345","force",3,5,1,0.398,"mj"
"346","force",3,6,1,0.403,"mj"
"347","force",3,7,1,0.415,"mj"
"348","force",3,8,1,0.365,"mj"
"349","force",3,9,1,0.338,"mj"
"350","force",3,10,1,0.336,"mj"
"351","force",3,11,1,0.469,"mj"
"352","force",3,12,1,0.534,"mj"
"353","force",3,13,1,0.473,"mj"
"354","force",3,14,1,0.535,"mj"
"355","force",3,15,1,0.551,"mj"
"356","force",3,16,1,0.334,"mj"
"357","force",3,17,1,0.569,"mj"
"358","force2",4,1,1,0.395,"mj"
"359","force2",4,2,1,0.41,"mj"
"360","force2",4,3,1,0.346,"mj"
"361","force2",4,4,1,0.309,"mj"
"362","force2",4,5,1,0.399,"mj"
"363","force2",4,6,1,0.402,"mj"
"364","force2",4,7,1,0.416,"mj"
"365","force2",4,8,1,0.364,"mj"
"366","force2",4,9,1,0.355,"mj"
"367","force2",4,10,1,0.377,"mj"
"368","force2",4,11,1,0.493,"mj"
"369","force2",4,12,1,0.552,"mj"
"370","force2",4,13,1,0.486,"mj"
"371","force2",4,14,1,0.547,"mj"
"372","force2",4,15,1,0.564,"mj"
"373","force2",4,16,1,0.357,"mj"
"374","force2",4,17,1,0.574,"mj"
"375","actstate",5,1,1,0.395,"mj"
"376","actstate",5,2,1,0.41,"mj"
"377","actstate",5,3,1,0.346,"mj"
"378","actstate",5,4,1,0.309,"mj"
"379","actstate",5,5,1,0.399,"mj"
"380","actstate",5,6,1,0.402,"mj"
"381","actstate",5,7,1,0.416,"mj"
"382","actstate",5,8,1,0.365,"mj"
"383","actstate",5,9,1,0.356,"mj"
"384","actstate",5,10,1,0.375,"mj"
"385","actstate",5,11,1,0.49,"mj"
"386","actstate",5,12,1,0.552,"mj"
"387","actstate",5,13,1,0.48,"mj"
"388","actstate",5,14,1,0.545,"mj"
"389","actstate",5,15,1,0.562,"mj"
"390","actstate",5,16,1,0.357,"mj"
"391","actstate",5,17,1,0.574,"mj"
"392","actstate2",6,1,1,0.395,"mj"
"393","actstate2",6,2,1,0.41,"mj"
"394","actstate2",6,3,1,0.346,"mj"
"395","actstate2",6,4,1,0.309,"mj"
"396","actstate2",6,5,1,0.4,"mj"
"397","actstate2",6,6,1,0.402,"mj"
"398","actstate2",6,7,1,0.417,"mj"
"399","actstate2",6,8,1,0.365,"mj"
"400","actstate2",6,9,1,0.34,"mj"
"401","actstate2",6,10,1,0.326,"mj"
"402","actstate2",6,11,1,0.501,"mj"
"403","actstate2",6,12,1,0.561,"mj"
"404","actstate2",6,13,1,0.498,"mj"
"405","actstate2",6,14,1,0.557,"mj"
"406","actstate2",6,15,1,0.57,"mj"
"407","actstate2",6,16,1,0.336,"mj"
"408","actstate2",6,17,1,0.571,"mj"
"409","drive",7,1,1,0.395,"mj"
"410","drive",7,2,1,0.41,"mj"
"411","drive",7,3,1,0.346,"mj"
"412","drive",7,4,1,0.309,"mj"
"413","drive",7,5,1,0.401,"mj"
"414","drive",7,6,1,0.408,"mj"
"415","drive",7,7,1,0.41,"mj"
"416","drive",7,8,1,0.356,"mj"
"417","drive",7,9,1,0.334,"mj"
"418","drive",7,10,1,0.324,"mj"
"419","drive",7,11,1,0.373,"mj"
"420","drive",7,12,1,0.421,"mj"
"421","drive",7,13,1,0.427,"mj"
"422","drive",7,14,1,0.47,"mj"
"423","drive",7,15,1,0.522,"mj"
"424","drive",7,16,1,0.335,"mj"
"425","drive",7,17,1,0.579,"mj"
"426","drive2",8,1,1,0.395,"mj"
"427","drive2",8,2,1,0.41,"mj"
"428","drive2",8,3,1,0.346,"mj"
"429","drive2",8,4,1,0.309,"mj"
"430","drive2",8,5,1,0.399,"mj"
"431","drive2",8,6,1,0.403,"mj"
"432","drive2",8,7,1,0.416,"mj"
"433","drive2",8,8,1,0.365,"mj"
"434","drive2",8,9,1,0.348,"mj"
"435","drive2",8,10,1,0.346,"mj"
"436","drive2",8,11,1,0.492,"mj"
"437","drive2",8,12,1,0.548,"mj"
"438","drive2",8,13,1,0.492,"mj"
"439","drive2",8,14,1,0.549,"mj"
"440","drive2",8,15,1,0.565,"mj"
"441","drive2",8,16,1,0.338,"mj"
"442","drive2",8,17,1,0.574,"mj"
"443","umberger",9,1,1,0.395,"mj"
"444","umberger",9,2,1,0.41,"mj"
"445","umberger",9,3,1,0.346,"mj"
"446","umberger",9,4,1,0.309,"mj"
"447","umberger",9,5,1,0.399,"mj"
"448","umberger",9,6,1,0.403,"mj"
"449","umberger",9,7,1,0.417,"mj"
"450","umberger",9,8,1,0.366,"mj"
"451","umberger",9,9,1,0.344,"mj"
"452","umberger",9,10,1,0.337,"mj"
"453","umberger",9,11,1,0.478,"mj"
"454","umberger",9,12,1,0.541,"mj"
"455","umberger",9,13,1,0.474,"mj"
"456","umberger",9,14,1,0.539,"mj"
"457","umberger",9,15,1,0.559,"mj"
"458","umberger",9,16,1,0.34,"mj"
"459","umberger",9,17,1,0.574,"mj"
